t,l_0_0,l_0_1,l_0_2,l_1_0,l_1_1,l_1_2,l_dot_0_0,l_dot_0_1,l_dot_0_2,l_dot_1_0,l_dot_1_1,l_dot_1_2
1.540000000000000036e+00,8.911743795782495203e-03,2.438779341038246114e-03,7.648043702291017210e-03,6.209017091797730710e-03,6.930293821200357411e-03,6.069203162176824498e-03,4.656784233141592587e-03,1.050575002675730504e-03,-5.646463040980241772e-03,-6.927174607422756326e-04,1.276044474577300684e-04,6.181520538786946508e-04
1.550000000000000044e+00,8.957742194247530695e-03,2.449908579058744738e-03,7.591589559213550616e-03,6.201959527299944104e-03,6.931622695654016293e-03,6.075532569584794068e-03,4.541355402104730113e-03,1.175689246676227349e-03,-5.643763031294689488e-03,-7.127496865300883555e-04,1.326378985064002609e-04,6.465582091619338518e-04
1.560000000000000053e+00,9.002550798260991818e-03,2.462295355110543163e-03,7.535178020651765035e-03,6.194762335321623258e-03,6.932951514466155138e-03,6.082120801701757819e-03,4.418348261051210056e-03,1.302031643089150877e-03,-5.637640510123454081e-03,-7.250249201725114320e-04,1.319791955149415353e-04,6.697737692471864837e-04
1.570000000000000062e+00,9.046134681462906016e-03,2.475930289957099881e-03,7.478823840478840933e-03,6.187500946049875016e-03,6.934228823757986916e-03,6.088912773954601072e-03,4.294211440271525002e-03,1.426058716733093461e-03,-5.631179503242151121e-03,-7.283521816281896292e-04,1.251198918290550286e-04,6.869684194824302774e-04
1.580000000000000071e+00,9.088484936344592979e-03,2.490783962694760167e-03,7.422529587901235265e-03,6.180248372291969119e-03,6.935412384727929376e-03,6.095840580667278956e-03,4.175745055717718437e-03,1.544219776480984432e-03,-5.627629505123498896e-03,-7.214922047618950582e-04,1.113107959121159888e-04,6.976826465641591249e-04
1.590000000000000080e+00,9.129671792902019009e-03,2.506791728158871708e-03,7.366259795739999068e-03,6.173095601940470530e-03,6.936442428188402398e-03,6.102842084633312326e-03,4.068245638681364587e-03,1.653999160898004302e-03,-5.629527561870220111e-03,-7.047256491583076335e-04,9.088719206625799790e-05,7.021559866328474587e-04
1.600000000000000089e+00,9.169850460259755878e-03,2.523851733624063540e-03,7.309938213354785427e-03,6.166149508689565406e-03,6.937243106442659429e-03,6.109862773731991430e-03,3.975181308720642306e-03,1.754092149349979063e-03,-5.638514664233488377e-03,-6.800240972658645180e-04,6.540165618561913949e-05,7.014008125112403905e-04
1.610000000000000098e+00,9.209198027003958134e-03,2.541859236937811430e-03,7.253479155835571186e-03,6.159497986032893245e-03,6.937749154114962978e-03,6.116866679584221679e-03,3.897524158088593298e-03,1.844451600996276173e-03,-5.654941776020831062e-03,-6.503255284475413598e-04,3.709233582312636355e-05,6.967606230084124816e-04
1.620000000000000107e+00,9.247852736852194694e-03,2.560721607049256526e-03,7.196817835231202228e-03,6.153161391249660148e-03,6.937960767948250958e-03,6.123815072343807495e-03,3.835531577791341344e-03,1.925266609818884755e-03,-5.678517837285494523e-03,-6.177232388550169635e-04,7.403819481891209947e-06,6.896677660502565765e-04
1.630000000000000115e+00,9.285968556099170532e-03,2.580338437964762709e-03,7.139884331546672916e-03,6.147151192256154577e-03,6.937885696879852841e-03,6.130673690326091975e-03,3.788666519383093820e-03,1.997345664686373413e-03,-5.708619894123892827e-03,-5.843806777782598527e-04,-2.228582455807448265e-05,6.818420580173170740e-04
1.640000000000000124e+00,9.323670023954318611e-03,2.600637463162457867e-03,7.082626368307862359e-03,6.141462242504999898e-03,6.937532656875328163e-03,6.137440366727277968e-03,3.753844287852767334e-03,2.062762450039564745e-03,-5.743565325598333840e-03,-5.525939497795071985e-04,-5.053451807055065284e-05,6.748274345697534687e-04
1.650000000000000133e+00,9.361052106397262443e-03,2.621574649426793371e-03,7.025009385425091610e-03,6.136072718876696246e-03,6.936911363161846547e-03,6.144145080039326023e-03,3.725429282928795563e-03,2.124856751485574343e-03,-5.780610287214838112e-03,-5.247909190497065859e-04,-7.583671926987259522e-05,6.699907543851904655e-04
1.660000000000000142e+00,9.398155925807847103e-03,2.643140076020870574e-03,6.967026130246858732e-03,6.130945977770972319e-03,6.936036885293329554e-03,6.150834650993025100e-03,3.697084630298174551e-03,2.187070643180116965e-03,-5.816689407660919665e-03,-5.030141460368427533e-04,-9.687630780120107048e-05,6.682124949936739302e-04
1.669999999999999929e+00,9.434955414752482436e-03,2.665340572466249301e-03,6.908699819525226243e-03,6.126010785584883912e-03,6.934967604094067518e-03,6.157527279064837523e-03,3.665806257737653454e-03,2.250753719756536358e-03,-5.849915696523250337e-03,-4.876566548623687534e-04,-1.133732120365757976e-04,6.698207261974040844e-04
1.679999999999999938e+00,9.471425131972839237e-03,2.688183858574987387e-03,6.850057469744261392e-03,6.121183111140531333e-03,6.933769922977951229e-03,6.164251550753362986e-03,3.627534353018649436e-03,2.318064304790336087e-03,-5.878073999377406503e-03,-4.787839768339835337e-04,-1.254539277677481314e-04,6.752817674862338689e-04
1.689999999999999947e+00,9.507487141938636421e-03,2.711708480805991982e-03,6.791152678921437251e-03,6.116402016547492493e-03,6.932486087295813663e-03,6.171041012089951809e-03,3.579178271472671733e-03,2.390493212286652711e-03,-5.899660413478570974e-03,-4.757317897934776503e-04,-1.336720155708828706e-04,6.843425885790602745e-04
1.699999999999999956e+00,9.543008955167202670e-03,2.735984634347951670e-03,6.732066474157214452e-03,6.111630316260947826e-03,6.931133848924014330e-03,6.177933419588708432e-03,3.518731893619009721e-03,2.468786763578786729e-03,-5.913931829427942002e-03,-4.770764192055783424e-04,-1.390191009867052907e-04,6.960017942651574620e-04
1.709999999999999964e+00,9.577845705185257172e-03,2.761087170299350319e-03,6.672884147712962108e-03,6.106854930557792382e-03,6.929713328363872223e-03,6.184955968380024399e-03,3.445852157387693706e-03,2.552705122057133229e-03,-5.920935437286185994e-03,-4.812325269139963247e-04,-1.424481702642190265e-04,7.089584578049144045e-04
1.719999999999999973e+00,9.611895000892203486e-03,2.787054678647022873e-03,6.613667638639505152e-03,6.102037663997012147e-03,6.928258245904349473e-03,6.192111125153893468e-03,3.361617412294087229e-03,2.641414112817794951e-03,-5.920990794843206985e-03,-4.866246495101489065e-04,-1.448964187324046154e-04,7.224732867322085665e-04
1.729999999999999982e+00,9.645045010370908653e-03,2.813930181127868857e-03,6.554485529377746152e-03,6.097146358650170662e-03,6.926796650892415308e-03,6.199402335904858306e-03,3.267368296261828099e-03,2.734026000215666104e-03,-5.914740287771361356e-03,-4.911733586725101170e-04,-1.477560439865883784e-04,7.356328726498530474e-04
1.739999999999999991e+00,9.677211842369885450e-03,2.841743599042372004e-03,6.495391818158589153e-03,6.092195728749317737e-03,6.925320778996292385e-03,6.206821517598246768e-03,3.165558890966018151e-03,2.829112429308442041e-03,-5.903512164640301041e-03,-4.932475908829532865e-04,-1.520555910596624565e-04,7.475181936313030160e-04
1.750000000000000000e+00,9.708340058732603181e-03,2.870511457670194781e-03,6.436425631765272867e-03,6.087247549436041426e-03,6.923786969641187138e-03,6.214348883152737320e-03,3.059764947181100019e-03,2.924700224903396817e-03,-5.889322077843304505e-03,-4.916745215064368801e-04,-1.584517290160552779e-04,7.572090824159195821e-04
1.760000000000000009e+00,9.738413861639493713e-03,2.900229510997693640e-03,6.377604478410862400e-03,6.082368057928323052e-03,6.922150699731140396e-03,6.221958627093905972e-03,2.953358339248770247e-03,3.018899524113192318e-03,-5.873950963425682292e-03,-4.861935735321917893e-04,-1.669489193161408059e-04,7.641785323961191754e-04
1.770000000000000018e+00,9.767435439826719842e-03,2.930874500471217833e-03,6.318936320427442216e-03,6.077567255784453379e-03,6.920416036654756034e-03,6.229623248014830132e-03,2.849231239688805508e-03,3.110141675869679528e-03,-5.858697561746613151e-03,-4.763572222362231915e-04,-1.778339982573307369e-04,7.683070600658551503e-04
1.780000000000000027e+00,9.795426043975036592e-03,2.962414209706173019e-03,6.260420432206895321e-03,6.072869477687225549e-03,6.918574910500682046e-03,6.237314317166219382e-03,2.750068750839378129e-03,3.197100522703264815e-03,-5.844891016205494907e-03,-4.618457113245736864e-04,-1.913662271576729314e-04,7.695816998174646959e-04
1.790000000000000036e+00,9.822441527392897914e-03,2.994804147249446793e-03,6.202038775925499195e-03,6.068318562897062791e-03,6.916602168422141678e-03,6.245006012216078838e-03,2.657452252594249588e-03,3.279101807494832696e-03,-5.833382451796116815e-03,-4.432447991660839765e-04,-2.071875295094796187e-04,7.683147135489944981e-04
1.800000000000000044e+00,9.848571440107697222e-03,3.027988084989616593e-03,6.143756442973576440e-03,6.063977596664603051e-03,6.914455744203068868e-03,6.252675278009908570e-03,2.571850750613769582e-03,3.356121942355641541e-03,-5.824539504345868125e-03,-4.220427871389934938e-04,-2.243240631203651111e-04,7.651375847898231634e-04
1.810000000000000053e+00,9.873884040881185029e-03,3.061923349680712586e-03,6.085548194964302167e-03,6.059886230283350987e-03,6.912109445411660294e-03,6.260308883680091793e-03,2.492705304807993523e-03,3.428455443258439893e-03,-5.818120062410720231e-03,-3.999678410940404861e-04,-2.416478585450868835e-04,7.606610325407405426e-04
